year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,salary_range,salary_skew,employment_quality_ratio
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences","Art, Design And Media",86.2,46.6,3146.0,3000.0,3182.0,3000.0,2650.0,3675.0,1025.0,182.0,0.5406032482598608
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Chinese,87.0,72.5,3376.0,3250.0,3483.0,3300.0,3053.0,3650.0,597.0,183.0,0.8333333333333334
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Communication Studies,96.9,80.8,3463.0,3375.0,3548.0,3500.0,3000.0,3943.0,943.0,48.0,0.8338493292053663
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Economics,93.5,88.3,3658.0,3500.0,3720.0,3650.0,3300.0,4000.0,700.0,70.0,0.9443850267379679
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",English,95.5,64.2,3254.0,3300.0,3354.0,3500.0,3000.0,3600.0,600.0,-146.0,0.6722513089005235
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",History,82.2,66.7,3724.0,3675.0,3800.0,3675.0,3500.0,4000.0,500.0,125.0,0.8114355231143552
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Inter-Disciplinary Double Major ^,92.9,75.0,3794.0,3650.0,3822.0,3650.0,3450.0,4180.0,730.0,172.0,0.8073196986006458
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,87.2,70.2,3351.0,3300.0,3398.0,3300.0,3000.0,3850.0,850.0,98.0,0.805045871559633
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Philosophy,88.5,57.7,3394.0,3400.0,3502.0,3400.0,2915.0,4480.0,1565.0,102.0,0.6519774011299435
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Psychology,91.8,71.8,3342.0,3300.0,3362.0,3350.0,3000.0,3500.0,500.0,12.0,0.7821350762527233
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Public Policy And Global Affairs,83.3,77.1,4024.0,3778.0,4105.0,3804.0,3500.0,4524.0,1024.0,301.0,0.9255702280912365
2021,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Sociology,91.3,69.6,3509.0,3475.0,3567.0,3500.0,3200.0,3940.0,740.0,67.0,0.7623220153340635
2021,Nanyang Technological University,College Of Science,Biological Sciences / Biomedical Sciences,96.8,81.7,3470.0,3400.0,3569.0,3500.0,3260.0,3800.0,540.0,69.0,0.84400826446281
2021,Nanyang Technological University,College Of Science,Biomedical Sciences And Chinese Medicine # ^,90.9,77.3,3023.0,3100.0,3119.0,3100.0,2890.0,3300.0,410.0,19.0,0.8503850385038503
2021,Nanyang Technological University,College Of Science,Chemistry And Biological Chemistry,90.2,74.4,3367.0,3400.0,3501.0,3400.0,3100.0,3700.0,600.0,101.0,0.8248337028824834
2021,Nanyang Technological University,College Of Science,Environmental Earth Systems Sciences ^,100.0,91.3,3810.0,3892.0,3888.0,3950.0,3500.0,4300.0,800.0,-62.0,0.9129999999999999
2021,Nanyang Technological University,College Of Science,Mathematical Sciences / Mathematical Sciences And Economics,91.0,75.6,3939.0,3750.0,4039.0,3806.0,3500.0,4500.0,1000.0,233.0,0.8307692307692307
2021,Nanyang Technological University,College Of Science,Physics And Applied Physics,84.5,69.0,3710.0,3570.0,3793.0,3600.0,3384.0,4000.0,616.0,193.0,0.8165680473372781
2021,Nanyang Technological University,Sports Science And Management,Sports Science And Management,86.2,55.4,3292.0,3300.0,3438.0,3300.0,3100.0,3620.0,520.0,138.0,0.642691415313225
2021,Nanyang Technological University,National Institute Of Education (Nie),Arts (With Education),100.0,100.0,3563.0,3754.0,3718.0,3780.0,3700.0,3900.0,200.0,-62.0,1.0
2021,Nanyang Technological University,National Institute Of Education (Nie),Science (With Education) ^,100.0,100.0,3578.0,3776.0,3796.0,3904.0,3727.0,4000.0,273.0,-108.0,1.0
2021,Nanyang Technological University,Lee Kong Chian School Of Medicine,Medicine #,100.0,100.0,4702.0,4700.0,5404.0,5500.0,5200.0,5800.0,600.0,-96.0,1.0
2021,National University Of Singapore,Faculty Of Arts & Social Sciences,Bachelor Of Arts,91.4,70.0,3405.0,3200.0,3600.0,3200.0,2850.0,4100.0,1250.0,400.0,0.7658643326039387
2021,National University Of Singapore,Faculty Of Arts & Social Sciences,Bachelor Of Arts (Hons),88.8,68.3,3619.0,3500.0,3731.0,3650.0,3400.0,3983.0,583.0,81.0,0.7691441441441441
2021,National University Of Singapore,Faculty Of Arts & Social Sciences,Bachelor Of Social Sciences,92.5,78.2,3757.0,3531.0,3850.0,3600.0,3400.0,4100.0,700.0,250.0,0.8454054054054054
2021,National University Of Singapore,Faculty Of Dentistry,Bachelor Of Dental Surgery,100.0,100.0,4256.0,4200.0,4286.0,4200.0,4200.0,4600.0,400.0,86.0,1.0
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Biomedical Engineering),94.4,83.3,3610.0,3500.0,3732.0,3600.0,3300.0,4000.0,700.0,132.0,0.8824152542372881
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Chemical Engineering),91.4,84.8,3793.0,3700.0,4023.0,3800.0,3600.0,4300.0,700.0,223.0,0.9277899343544856
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Civil Engineering),97.3,97.3,3780.0,3700.0,3897.0,3700.0,3500.0,4100.0,600.0,197.0,1.0
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Electrical Engineering),95.1,93.0,4251.0,4000.0,4377.0,4150.0,3900.0,4550.0,650.0,227.0,0.9779179810725552
